text,diagnosis,lexical_density,tree_depth
laughs oh you'll need pats,control,33.33333333333333,2
you'll need a jar of pats,control,57.14285714285714,3
you'll need a jar of jelly pats,control,50.0,4
I prefer seedless raspberry ,control,25.0,2
you need a knife  pats,control,33.33333333333333,3
you will open the package of bread ,control,57.14285714285714,3
you will take out two slices of bread ges ,control,44.44444444444444,4
you will lay them face up onto the counter ,control,66.66666666666666,4
ges,control,0.0,0
you will take the knife and ges,control,42.85714285714285,2
ges,control,0.0,0
ges,control,0.0,0
ges,control,0.0,0
ges,control,0.0,0
you will ges,control,66.66666666666666,1
ges,control,0.0,0
you will spread it down ges,control,66.66666666666666,1
either is fine ,control,33.33333333333333,1
you will then fold the two pieces together ges,control,33.33333333333333,2
ges,control,0.0,0
you may choose to slice it into triangles ,control,50.0,3
so  little Amina went outside to play with her cat ,control,27.27272727272727,4
and her cat  got excited and scared because the dog started to chase it ,control,26.666666666666668,3
which is what the neighbor's dog always does ,control,44.44444444444444,4
his very annoying dog ,control,25.0,2
and the neighbors just don't keep it in his yard like they're sposta ,control,53.333333333333336,3
and so the cat ran up the tree ,control,37.5,2
but it got stuck because it went ges,control,50.0,2
and Amina's father came and said ,control,0.0,3
 no problem ,control,33.33333333333333,1
 I'll go up ,control,40.0,1
 I'll rescue the cat ,control,50.0,2
and he climbed up ,control,25.0,1
but then the ladder fell over ,control,33.33333333333333,2
and he got stuck ,control,25.0,1
so  then the neighbors even_though they're very bad with their dog they were also very kind neighbors ,control,42.10526315789473,4
and they noticed he was stuck in the tree ,control,55.55555555555556,4
and they called the fire department which is kind_of an overreaction because they could've just fixed the ladder themselves ,control,55.00000000000001,4
and the  c and the bird was singing very contentedly over this entire scene ,control,33.33333333333333,3
the end ,control,50.0,1
um,control,0.0,0
I did um trail riding recreational trail riding on horses in Northern_California in college and most weekends ,control,29.411764705882355,6
and I went out um with the other riders ,control,44.44444444444444,3
and I actually fell off the horse and got a concussion ,control,36.36363636363637,3
and in the midst of that um got back up onto the horse ,control,46.15384615384615,4
fell ,control,0.0,0
I_mean very tall horse actually ,control,0.0,2
Quasar was like sixteen hands or something ,control,28.57142857142857,3
and fell right ges,control,0.0,2
I lost consciousness for a few minutes ,control,42.85714285714285,3
and then when I came back to the college campus I went to the health clinic ,control,43.75,5
and they sent me to the hospital to get a cat ,control,45.45454545454545,3
and they kept me overnight ,control,40.0,1
um I remember  I remember one of the girls at the end of the hall ,control,50.0,6
I think it was like Thanksgiving weekend or something ,control,55.55555555555556,4
it was some holiday weekend ,control,60.0,2
there weren't a_lot_of people around ,control,16.666666666666664,2
and so Katie of all people happened to be around ,control,30.0,4
not a close friend but someone I knew ,control,37.5,3
and she was so nice ,control,40.0,2
she took me  to the hospital ,control,57.14285714285714,3
and it was the emergency room ,control,50.0,2
and it was just like crowded ,control,50.0,2
and I think it was maybe even a Saturday night ,control,40.0,3
and there were police bringing in like people with  ges cocaine in their stomachs ,control,40.0,6
I_mean it was an interesting ,control,60.0,2
it was like one of those like tv movie situations where there are all these things going on ges ,control,57.89473684210527,9
I think there was like some ges gunshot wound  you_know ,control,36.36363636363637,6
and here I am just sitting here with like points,control,30.0,2
and they needed to keep me overnight ,control,28.57142857142857,2
they did the cat ,control,50.0,2
um they kept me overnight ,control,40.0,1
I remember I just really really wanted to go home and take a shower ,control,21.428571428571427,5
and the person I was sharing a room with I think  was having some sort of family difficulty ,control,47.368421052631575,5
or she was very unhappy and possibly very sick or in pain or something ,control,28.57142857142857,5
and so she was having a hard time and ,control,33.33333333333333,2
I remember that my friends came the next day to pick me up ,control,46.15384615384615,3
and uh they forgot to bring clothes with them ,control,33.33333333333333,3
so  I was wearing a hospital gown with a  a ges,control,53.84615384615385,4
um basically um that's the time I was in the hospital laughs ,control,53.84615384615385,5
uh certainly ,control,0.0,1
I'm going to recall  yeah ,control,28.57142857142857,2
frightened or scared  whispering ,control,0.0,3
oh slaps,control,0.0,1
um last spring right before summer vacation I was laughs in my house  small apartment uh complex  small apartment just doing some schoolwork or something ,control,25.925925925925924,5
and I suddenly started hearing this imit,control,28.57142857142857,3
um and I,control,33.33333333333333,2
and I went into the kitchen ,control,50.0,3
and I notice there's a bee in my  inside my house which I don't understand how ,control,57.89473684210527,7
covers,control,0.0,0
because it's absolutely closed all the time ,control,62.5,2
screens on the window ,control,50.0,3
there's no way ,control,50.0,2
so  I thought that was odd  you_know trying to get out the window ,control,40.0,4
and I captured it ,control,50.0,1
and I put it outside ,control,40.0,1
and I noticed there were some bees flying around outside ,control,30.0,4
ges,control,0.0,0
I go into the bathroom ,control,60.0,3
and my bathroom  my shower stall has been invaded by about fifty bees ,control,35.714285714285715,4
I'm telling you it was like a horror movie ,control,70.0,4
it was the sound of ges imit,control,57.14285714285714,4
yes points,control,0.0,1
and I'm not overly phobic of bees ,control,37.5,3
I like them in their place ,control,66.66666666666666,3
I'm not like someone who runs away from them ,control,70.0,6
but a_lot_of them in my house in my bathroom ,control,55.55555555555556,3
and that feeling of going in ,control,50.0,3
and it was like a horror movie like imit,control,55.55555555555556,4
so  ges,control,0.0,1
ges,control,0.0,0
ges and they're all trying to get out the window which was good ,control,50.0,5
they were focused on the window ,control,66.66666666666666,3
so  yeah I  I freaked ,control,28.57142857142857,2
um I,control,50.0,1
I actually got a dirty towel and like ges,control,33.33333333333333,2
because you know how purposeful bees can be sometimes ,control,55.55555555555556,4
and uh gave a very panicked phone call to my landlady saying ,control,25.0,3
 um you needta get here now ,control,14.285714285714285,2
 we needta figure this out ,control,50.0,2
 what's going on ,control,60.0,1
and it turned out they had been coming in through a tiny hole ges,control,57.14285714285714,4
they were looking for a new um place to start a hive ,control,41.66666666666667,5
and so basically for a couple of hours it was very interesting ,control,41.66666666666667,4
we hadta get someone um ,control,40.0,2
you_know  were they going in everywhere ,control,42.85714285714285,2
how were they getting in ,control,80.0,1
they hadta call a bee expert ,control,33.33333333333333,3
so then  but yeah that was a freaky moment ,control,30.0,1
and I was very creeped out ,control,50.0,1
I remember going into my closet and like ges,control,44.44444444444444,4
and I_mean ges they were very focused on the windows ,control,40.0,4
but it was a_little creepy to think that like it might be ges,control,46.15384615384615,3
points,control,0.0,0
ges,control,0.0,0
that was creepy uh for sure ,control,50.0,2
you_know  and the bathroom is the last place you need anything ,control,41.66666666666667,3
yeah  you're vulnerable enough ,control,33.33333333333333,2
let's be honest ,control,50.0,2
like you just don't need anything coming at you with a stinger ,control,61.53846153846154,5
so  yes that was  that was  that was scary ,control,58.333333333333336,2
certainly ,control,0.0,0
sighs I'm trying to think of specific examples in the moment  whispering ,control,35.714285714285715,7
it's interesting  whispering ,control,40.0,1
um  um I'm trying to think of,control,33.33333333333333,2
certainly while teaching um sometimes having students  particular students who really are struggling ,control,21.428571428571427,4
and you feel like there's not clear communication ,control,33.33333333333333,3
it's not uh a coherent reason for why it's not working and a resolution kind of thing ,control,47.368421052631575,4
and you're struggling to understand ,control,33.33333333333333,2
um certainly sending emails to find out ,control,14.285714285714285,3
taking a moment saying ,control,25.0,3
 I wanna talk with you ,control,50.0,3
 I'm feeling you_know this  this is  this is  these are my concerns ,control,58.82352941176471,5
 um how can I better support you,control,50.0,1
 is there anything going on that you wish to share with me ,control,61.53846153846154,5
like those  ges trying to be open but also respectful of their privacy um and whatever they'd be interested in ,control,45.45454545454545,5
asking them ,control,50.0,1
you_know  I think it really helps to just start with you_know ,control,25.0,4
 these are my concerns ,control,60.0,2
i_e missing work or behavior in class or something like that ,control,36.36363636363637,3
and then giving them a chance and seeing what their response is is extremely helpful because that gives you a sense of ges where to go next um with that ,control,46.66666666666666,9
I'm trying to think ,control,40.0,2
I've had  I've had some really difficult situations with students of you_know basically just really disagreeing over the  the approach of the class or the expectations and philosophical differences ,control,39.39393939393939,7
and um oh I'm trying to think specifically ,control,22.22222222222222,2
I_mean involving other people too is very helpful sometimes because  then it's not just ges you and the other person ,control,27.27272727272727,5
um ges,control,0.0,1
is it just in this situation ,control,66.66666666666666,3
or is it a broader picture ges uh problem in their ability to communicate with their teachers or to get along with their peers ,control,41.66666666666667,8
and shrugs those are things I can think of ,control,55.55555555555556,3
mhm ,control,0.0,0
hm ,control,0.0,0
one day after schoo,control,25.0,2
and he did an amazing kick that kicked so well that the ball went all the way through  the window of his house and right into his dad's lap ,control,41.935483870967744,9
his dad was very surprised and went to the window and looked out to see where the ball had come from ,control,42.85714285714285,6
the end ,control,50.0,1
mhm ,control,0.0,0
 one morning this little boy was going to school ,control,20.0,2
and his mother was saying ,control,40.0,2
 you should really take your umbrella ,control,42.85714285714285,2
and he was saying ,control,50.0,1
 no no no waves,control,20.0,1
 I don't want it ,control,50.0,1
 I don't believe in umbrellas ,control,42.85714285714285,2
so  he left ,control,50.0,1
