text,diagnosis
oh gee ,control
hm actually I fainted  once ,control
and that's a terrible feeling ,control
and I guess  you_know I guess we could compare that to a  a stroke in the sense that it's a sudden onset ,control
and uh you do have a  a short window if it's the same as a stroke ,control
there  in my case there's a short window of realizing something is really wrong ,control
and you do have time to  to be cognizant of being in big trouble ,control
in_fact  I remember one time I  I uh  I fainted ,control
I happened to be in the upstairs bathroom at my house ,control
and that was  I was really afraid of  of the fact that I was in a hard tile room ,control
and um my daughter was downstairs ,control
I guess she was oh maybe around seven or eight ,control
and I  just in a panic I said ,control
 Dolly call nineoneone ,control
so  I knew I was in trouble ,control
and I  I  then I  I was able to just slowly go down myself ,control
and then I went out_of the picture ,control
and uh the paramedics did take me to the hospital ,control
and I had food poisoning ,control
and uh when I got ,control
th now that was really frightening as you_know they  they're racing me through the uh the e_r ,control
they're asking me you_know all sorts of information ,control
and  and the pocketbook disappears ,control
and then you_know testing and monitors and all that ,control
and they said ,control
 you_know your potassium level is in the basement ,control
so  it was really a ,control
and you_know you read these stories about people who have food poisoning and end up either you_know in the hospital or even dying ,control
and they told me yeah when the potassium levels go down to uh those sort_of sublevels organs can start shutting down rather quickly ,control
so  it was truly an emergency situation ,control
so  and my daughter as young as she was you_know I credit Natalie with you_know the fact that it wasn't worse ,control
that she  she just listened to me and didn't question it and dialed nineoneone ,control
yeah  so I can imagine that a stroke victim probably has a little notice  I think ,control
right ,control
and that's probably as scary li just like that ,control
yeah  yeah ,control
I was in the hospital for the night ,control
and uh they gave me a liquid potassium ,control
and then uh in i_vs ,control
and then um I left the hospital with uh ,control
well  before I left they were giving me lots of orange juice and with instructions you_know to  to call ,control
but it was liquid potassium and i_vs for uh many hours ,control
and they were monitoring me and you_know taking blood work and checking blood pressure and all that ,control
so  but you_know I was out you_know by the next morning ,control
but still ,control
I felt really weak and tired ,control
I_mean you needed to recover ,control
the  the  the rest of that day was really kind_of not on the map you_know ,control
but I_mean I  I just felt really really tired ,control
and j wiped out maybe is better ,control
tired  tired doesn't capture it ,control
laughs you_know it was scary ,control
you_know  when you see these stories right ,control
you  you hear them ,control
somebody died ,control
like how do they die ,control
right  right ,control
it can be serious ,control
and I had been doing a good deed that day ,control
I was at the Yogi_Berra stadium ,control
at the time  and of all things at the time I was a volunteer for the Mountainside hospital foundation ,control
and I was at the Yogi_Berra stadium working um an event ,control
it was family day ,control
